,name,price_level,rating,user_ratings_total,formatted_address,latitude,longitude
297,Shawarma Inn,1,4,166,"2011 N Damen Ave, Chicago, IL 60647, USA",41.9181596,-87.6774271
96,Turkish Cafe Tea House,1,4.4,166,"2621 W Lawrence Ave, Chicago, IL 60625, USA",41.9684496,-87.6947301
807,Tripoli Tap,1,4.5,170,"1147 W Armitage Ave, Chicago, IL 60614, USA",41.9179354,-87.6572007
814,See Thru Chinese Kitchen #8,1,3.7,171,"1651 W Roosevelt Rd, Chicago, IL 60608, USA",41.8664322,-87.6687332
551,Stanley's Grill,1,4.5,171,"1543 N Elston Ave, Chicago, IL 60642, USA",41.9102239,-87.6615536
962,Chop Suey Kitchen,1,4.2,172,"5353 W Madison St, Chicago, IL 60644, USA",41.8801293,-87.7596863
489,The Jerk Shop,1,3.8,173,"5614 W Chicago Ave, Chicago, IL 60651, USA",41.895,-87.7661111
471,Falafel & Grill,1,4.8,178,"1433 W Montrose Ave, Chicago, IL 60613, USA",41.9612875,-87.6664472
1060,Little Joe's,1,4.5,179,"1041 W Taylor St, Chicago, IL 60607, USA",41.8692971,-87.6527727
724,Kelly's Pub,1,4.4,180,"949 W Webster Ave, Chicago, IL 60614, USA",41.9215774,-87.6529676
163,Clover Sports and Leisure,1,4.6,180,"722 W Grand Ave, Chicago, IL 60654, USA",41.8913213,-87.6468015
327,Di Vita's Restaurant,1,4,181,"3753 W Belmont Ave, Chicago, IL 60618, USA",41.9389089,-87.7217062
893,Taqueria Nuevo Jalisco,1,4.4,181,"4011 W Armitage Ave, Chicago, IL 60639, USA",41.9170212,-87.727074
1198,Frank and Mary's Tavern,1,4.7,182,"2905 N Elston Ave, Chicago, IL 60618, USA",41.9342713,-87.6905532
802,John's Drive-In,1,4.6,184,"5900 S Ashland Ave, Chicago, IL 60636, USA",41.78651,-87.6645928
975,"?u????A?????????A???? ?A??A?C?ae?A?????C ""?c??????A???e ?o???a??C?ae???a?C""",1,4.7,184,"2446 N Laramie Ave, Chicago, IL 60639, USA",41.9255243,-87.7564304
957,Spoon Thai,1,4.3,185,"4608 N Western Ave, Chicago, IL 60625, USA",41.9651936,-87.6891599
1121,LA CATRINA RESTAURANT,1,4.6,185,"3924 W Diversey Ave, Chicago, IL 60647, USA",41.9319883,-87.7256313
1024,Victor's Restaurant Pizza,1,4,186,"5418 W North Ave, Chicago, IL 60639, USA",41.9097499,-87.7613895
171,Long Tung Chinese Restaurant,1,3.3,188,"6237 S Halsted St, Chicago, IL 60621, USA",41.780519,-87.6421677
50,Rica Arepa | Venezuelan Restaurant,1,4.8,188,"2913 N Lincoln Ave, Chicago, IL 60657, USA",41.9348578,-87.6615496
456,El Terco Leon,1,4.3,189,"7152 N California Ave, Chicago, IL 60645, USA",42.0116609,-87.6999607
205,Dip and Sip Donuts,1,4.7,192,"2256 W Roscoe St, Chicago, IL 60618, USA",41.9432497,-87.6855668
776,Thai Valley,1,4.5,193,"4600 N Kedzie Ave, Chicago, IL 60625, USA",41.9648361,-87.7085089
1036,Los Azares Mexican Grill,1,4.2,194,"7148 N Harlem Ave, Chicago, IL 60631, USA",42.0113161,-87.8071537
584,Mayfair Restaurant,1,4.5,195,"4461 W Lawrence Ave, Chicago, IL 60630, USA",41.9678889,-87.7402139
1110,Gelatinas Cris,1,4.3,198,"4725 S Cicero Ave, Chicago, IL 60632, USA",41.8068091,-87.7426905
1167,Big Al's,1,4.2,199,"5335 S Kedzie Ave, Chicago, IL 60632, USA",41.7961453,-87.7034745
75,Hook and Ladder,1,4.3,199,"2270 N Lincoln Ave, Chicago, IL 60614, USA",41.9233377,-87.6460493
