,name,price_level,rating,user_ratings_total,formatted_address,latitude,longitude
855,Beggars Pizza - Westloop,2,4.2,1309,"310 S Clinton St, Chicago, IL 60661, USA",41.8777905,-87.6412709
404,Le Colonial Chicago,3,4.5,1321,"57 E Oak St, Chicago, IL 60611, USA",41.9005227,-87.6260999
1056,Bang Bang Pie & Biscuits,2,4.6,1339,"2051 N California Ave, Chicago, IL 60647, USA",41.9190185,-87.6971122
701,Top Notch Beefburgers,1,4.5,1347,"2116 W 95th St, Chicago, IL 60643, USA",41.72124,-87.6754448
838,Forno Rosso Pizzeria Napoletana,2,4.6,1358,"3719 N Harlem Ave, Chicago, IL 60634, USA",41.947658,-87.806747
126,Chicago Waffles South Loop,2,4.2,1366,"1400 S Michigan Ave, Chicago, IL 60605, USA",41.8637139,-87.6243056
559,Chant Restaurant In Hyde Park,2,4.2,1368,"1509 E 53rd St, Chicago, IL 60615, USA",41.7994033,-87.5886494
133,Senor Pan Cafe,2,4.3,1373,"4612 W Fullerton Ave, Chicago, IL 60639, USA",41.9246638,-87.7422307
472,Petterinos,2,4.3,1374,"150 N Dearborn St, Chicago, IL 60601, USA",41.884722,-87.6297835
261,Dat Donut,1,4.5,1387,"8251 S Cottage Grove Ave, Chicago, IL 60619, USA",41.7443734,-87.6048401
1197,Jerk 48,2,3.8,1388,"548 E 67th St, Chicago, IL 60637, USA",41.7732303,-87.6111776
1354,Janson's Drive-In,1,4.3,1388,"9900 S Western Ave, Chicago, IL 60643, USA",41.7133333,-87.6822222
1034,Arturo's Tacos,1,4,1396,"2001 N Western Ave, Chicago, IL 60647, USA",41.9176965,-87.687079
280,Birrieria Patinos Ocotlan,2,4.3,1399,"3813 W 26th St, Chicago, IL 60623, USA",41.8441334,-87.7204195
733,Whole Foods Market,3,4.2,1402,"5118 S Lake Park Ave, Chicago, IL 60615, USA",41.8018032,-87.5880826
189,Wendy's,1,3.6,1405,"7031 S Western Ave, Chicago, IL 60636, USA",41.7657383,-87.6829703
1302,Happy Camper Pizzeria,2,4.4,1406,"1209 N Wells St, Chicago, IL 60610, USA",41.90428,-87.6343128
191,Piccolo Sogno,2,4.5,1408,"464 N Halsted St, Chicago, IL 60642, USA",41.8908676,-87.6478939
1333,Griddle 24,2,4.4,1425,"334 W Chicago Ave, Chicago, IL 60654, USA",41.896781,-87.6369655
1021,Fletcher Jones Audi Service Center,NULL,4.7,1434,"949 N Elston Ave Suite 1, Chicago, IL 60642, USA",41.8993416,-87.6545675
117,Choppers,1,4.6,1441,"1659 N Ashland Ave, Chicago, IL 60622, USA",41.9122962,-87.6675001
97,Susie's Drive-Thru,1,4,1442,"4126 W Montrose Ave, Chicago, IL 60641, USA",41.961064,-87.73111
660,Furious Spoon Logan Square,2,4.1,1445,"2410 N Milwaukee Ave, Chicago, IL 60647, USA",41.9249681,-87.7009725
1317,Remington's,2,4.5,1454,"20 N Michigan Ave, Chicago, IL 60602, USA",41.8826897,-87.6246716
1303,Carbon Live Fire Mexican Grill,2,4.3,1472,"300 W 26th St, Chicago, IL 60616, USA",41.8457425,-87.6347923
947,El Hefe Chicago,2,3.7,1480,"15 W Hubbard St, Chicago, IL 60654, USA",41.8898941,-87.6286166
1003,White Castle,1,3.8,1491,"11050 S Halsted St, Chicago, IL 60628, USA",41.692672,-87.6428078
182,Calumet Fisheries,2,4.5,1497,"3259 E 95th St, Chicago, IL 60617, USA",41.7226459,-87.543974
469,Beatnik West Town,3,4.5,1499,"1604 W Chicago Ave, Chicago, IL 60622, USA",41.896189,-87.6676898
102,Lazo's Tacos,1,3.9,1511,"2009 N Western Ave, Chicago, IL 60647, USA",41.9178299,-87.6870433
718,Clark Street Dog,1,4.3,1522,"3040 N Clark St, Chicago, IL 60657, USA",41.9374572,-87.6489609
112,Outback Steakhouse,2,4.1,1523,"8101 W Higgins Rd, Chicago, IL 60631, USA",41.985182,-87.8297439
355,Monteverde Restaurant & Pastificio,3,4.7,1533,"1020 W Madison St, Chicago, IL 60607, USA",41.8818361,-87.6529694
