,name,price_level,rating,user_ratings_total,formatted_address,latitude,longitude
293,La Baguette Bakery,NULL,3.7,115,"5859 S Kedzie Ave, Chicago, IL 60629, USA",41.786453,-87.702933
400,Gordon Cafe,NULL,3.7,7,"929 E 57th St, Chicago, IL 60637, USA",41.7912637,-87.6024796
612,Braseritos Restaurant,NULL,3.7,162,"4107 W North Ave, Chicago, IL 60639, USA",41.9095516,-87.7293052
735,Vista Carry Out,NULL,3.7,22,"233 N Michigan Ave, Chicago, IL 60601, USA",41.8867854,-87.6232115
1071,Piranhas Grill,NULL,3.7,47,"2351 W Grand Ave, Chicago, IL 60612, USA",41.8905122,-87.6862585
1139,Sharks Fish & chicken Grill,NULL,3.7,97,"5053 W Division St, Chicago, IL 60651, USA",41.9021949,-87.7530515
1252,LIL Country Soulfood,NULL,3.7,24,"2801 E 83rd St, Chicago, IL 60617, USA",41.7444139,-87.5562341
83,Sharks Fish Chicken,1,3.8,542,"9800 S Halsted St, Chicago, IL 60628, USA",41.7157213,-87.6435867
107,Whale Fish & Chicken,1,3.8,770,"4955 W Madison St, Chicago, IL 60644, USA",41.8801291,-87.7491337
191,Wendy's,1,3.8,871,"2215 N Washtenaw Ave, Chicago, IL 60647, USA",41.9222383,-87.695264
399,Three Harmony Chinese Restaurant,1,3.8,151,"4546 N Magnolia Ave, Chicago, IL 60640, USA",41.9649899,-87.6612744
477,Jerk Taco Man Caribbean BBQ,1,3.8,2933,"7723 S State St, Chicago, IL 60619, USA",41.7538199,-87.6243938
494,Van Phat Chinese Restaurant,1,3.8,103,"2750 N Kimball Ave, Chicago, IL 60647, USA",41.9316643,-87.7125945
549,Boar's Head Cafe,1,3.8,12,"125 S Wacker Dr Suite 110, Chicago, IL 60606, USA",41.8797063,-87.6364113
574,Erik's Deli & Eatery,1,3.8,22,"525 W Van Buren St #100, Chicago, IL 60607, USA",41.8766621,-87.6401615
667,See Thru Chinese Kitchen,1,3.8,19,"800 N Kedzie Ave, Chicago, IL 60651, USA",41.8958474,-87.7074375
712,Left Coast Food Juice,1,3.8,72,"151 N Franklin St Suite 100, Chicago, IL 60606, USA",41.8848234,-87.6351433
719,China Cafe,1,3.8,95,"4818 N Sheridan Rd, Chicago, IL 60640, USA",41.9695985,-87.6553715
742,Juanita's Mexican Foods,1,3.8,134,"2955 W 59th St, Chicago, IL 60629, USA",41.7862363,-87.6982133
815,Angelo's Stuffed Pizza,1,3.8,342,"4850 S Pulaski Rd, Chicago, IL 60632, USA",41.8045371,-87.7237743
833,Peeples Taco Place,1,3.8,808,"5944 W Chicago Ave, Chicago, IL 60651, USA",41.8948757,-87.774112
834,The Jerk Shop,1,3.8,173,"5614 W Chicago Ave, Chicago, IL 60651, USA",41.895,-87.7661111
837,Mr Taco's Restaurant,1,3.8,55,"1640 W Chicago Ave, Chicago, IL 60622, USA",41.8963116,-87.6688464
870,China Gourmet,1,3.8,311,"7100 N Clark St, Chicago, IL 60626, USA",42.0116006,-87.674766
905,Louisiana Famous Fried Chicken,1,3.8,154,"1554 W Marquette Rd, Chicago, IL 60636, USA",41.7725078,-87.6637515
936,Izalco Restaurant,1,3.8,712,"4377 W 26th St, Chicago, IL 60623, USA",41.8439687,-87.7339779
1061,Italian Fiesta Pizzeria,1,3.8,1384,"1919 E 71st St, Chicago, IL 60649, USA",41.7659521,-87.5777223
1093,Pepe's Mexican,1,3.8,513,"954 W 87th St, Chicago, IL 60620, USA",41.7362473,-87.6482605
1205,Little Clown Pizza,1,3.8,129,"2801 N Central Park Ave, Chicago, IL 60618, USA",41.9320382,-87.7170005
1336,Hoe Toy Chop Suey,1,3.8,563,"8559 S Stony Is Ave, Chicago, IL 60617, USA",41.7389225,-87.584975
207,Gerry's Fish & Chicken,2,3.8,142,"11857 S Michigan Ave, Chicago, IL 60628, USA",41.678247,-87.620293
528,Merchants Market,2,3.8,13,"350 W Wolf Point Plaza 15th Floor, Chicago, IL 60654, USA",41.888055,-87.637906
620,Rosati's Pizza - Chicago Loop,2,3.8,305,"176 N Wells St, Chicago, IL 60606, USA",41.8852547,-87.6342033
711,Gaylord Fine Indian Cuisine,2,3.8,651,"100 E Walton St, Chicago, IL 60611, USA",41.9001206,-87.6250611
1108,Jamaican Jerk King,2,3.8,499,"206 E 35th St, Chicago, IL 60616, USA",41.8312086,-87.6214628
1188,Freshii,2,3.8,115,"835 N Michigan Ave Suite 1005, Chicago, IL 60611, USA",41.8982488,-87.6228224
1221,Maravillas Restaurant,2,3.8,650,"5506 S Lake Park Ave, Chicago, IL 60637, USA",41.7949399,-87.5878135
158,Edison Park Bowl,NULL,3.8,4,"6713 N Olmsted Ave, Chicago, IL 60631, USA",42.0025123,-87.8171307
244,Mr. Crab Fish Chicken Grill,NULL,3.8,58,"1454 W 95th St, Chicago, IL 60643, USA",41.7215955,-87.6599575
372,La Borra Cafe,NULL,3.8,38,"10 E Delaware Pl, Chicago, IL 60611, USA",41.8993009,-87.6279319
525,Kimberli Sushi and Thai Cuisine,NULL,3.8,156,"2547 W Lawrence Ave Unit B, Chicago, IL 60625, USA",41.9681962,-87.6933586
622,El Capitan Restaurant,NULL,3.8,64,"3758 W Armitage Ave, Chicago, IL 60647, USA",41.917334,-87.7214331
700,Jerk 48 West,NULL,3.8,264,"4335 W Madison St, Chicago, IL 60624, USA",41.8804537,-87.7344517
934,Maddanthony's Bar & Grill,NULL,3.8,15,"Chicago, IL 60632, USA",41.8083903,-87.7081144
1106,La Pulqueria ( Pilsen ),NULL,3.8,486,"2501 S Western Ave, Chicago, IL 60608, USA",41.8464137,-87.6851921
1150,Bureau Pizza Co.,NULL,3.8,57,"719 S State St, Chicago, IL 60605, USA",41.8726379,-87.6271594
